Emissao_CO2,Classificacao_Emissao,Consumo,Classificacao_consumo,Tipo_edificio,Estado_edificio,Ano_construcao,Superficie_m2,Municipio,Provincia,Classificacao
52.23,E,258.13,E,Vivienda individual,Existente,1994,131,HUESCA,HUESCA,EE
60.03,E,226.76,E,Vivienda individual,Existente,1985,57.66,HUESCA,HUESCA,EE
28.45,D,139.63,E,Vivienda individual,Existente,1970,67.74,HUESCA,HUESCA,DE
30.19,D,147.26,E,Vivienda individual,Existente,1970,48.97,HUESCA,HUESCA,DE
127.31,G,558.03,G,Vivienda individual,Existente,1920,37,HUESCA,HUESCA,GG
75.26,E,369.99,F,Vivienda individual,Existente,1967,56.95,HUESCA,HUESCA,EF
43.81,E,213.04,E,Vivienda individual,Existente,2010,111,HUESCA,HUESCA,EE
103.54,G,397.55,G,Vivienda individual,Existente,1968,53.57,HUESCA,HUESCA,GG
17.25,G,67.35,D,Local,Existente,1980,222,HUESCA,HUESCA,GD
37.25,E,181.88,E,Vivienda individual,Existente,2006,50.4,HUESCA,HUESCA,EE
69.21,E,305.84,E,Vivienda individual,Existente,1981,69.75,HUESCA,HUESCA,EE
42.03,E,199.79,E,Vivienda individual,Existente,1990,93.39,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
56.01,E,276.95,E,Bloque completo,Existente,1960,1173,HUESCA,HUESCA,EE
23.35,D,112.92,D,Vivienda individual,Existente,2007,89,HUESCA,HUESCA,DD
51.5,E,254.49,E,Vivienda individual,Existente,1971,89.56,HUESCA,HUESCA,EE
38.54,E,188.14,E,Vivienda individual,Existente,2007,47,HUESCA,HUESCA,EE
102.4,G,411.81,G,Vivienda individual,Existente,1988,37.83,HUESCA,HUESCA,GG
28.69,D,138.42,D,Vivienda individual,Existente,2000,55.46,HUESCA,HUESCA,DD
86.77,F,348.95,F,Local,Existente,1991,75,HUESCA,HUESCA,FF
51.99,E,255.01,E,Vivienda individual,Existente,2007,99,HUESCA,HUESCA,EE
40.23,E,151.53,E,Vivienda individual,Existente,1979,99.6,HUESCA,HUESCA,EE
28.88,D,138.71,D,Vivienda individual,Existente,2007,65,HUESCA,HUESCA,DD
28.18,D,133.47,D,Vivienda individual,Existente,2007,78.3,HUESCA,HUESCA,DD
37.65,E,182.45,E,Vivienda individual,Existente,2005,70,HUESCA,HUESCA,EE
80.19,F,322.48,F,Local,Existente,1966,88.5,HUESCA,HUESCA,FF
34.38,E,156.22,E,Vivienda individual,Existente,1974,92,HUESCA,HUESCA,EE
59.67,E,225.63,E,Vivienda individual,Existente,1979,86,HUESCA,HUESCA,EE
30.99,D,143.69,E,Vivienda individual,Existente,2008,50,HUESCA,HUESCA,DE
55.18,E,272.71,E,Vivienda individual,Existente,2002,41.71,HUESCA,HUESCA,EE
72.69,E,274.42,E,Vivienda individual,Existente,1974,68.6,HUESCA,HUESCA,EE
97.14,G,368.66,F,Vivienda individual,Existente,1956,45.34,HUESCA,HUESCA,GF
119.75,G,588.61,G,Vivienda individual,Existente,1970,63.07,HUESCA,HUESCA,GG
65.63,E,259.52,E,Vivienda individual,Existente,2007,177.23,HUESCA,HUESCA,EE
70.84,E,270.72,E,Vivienda individual,Existente,1963,42.62,HUESCA,HUESCA,EE
187.65,G,754.64,G,Vivienda individual,Existente,1995,42.8,HUESCA,HUESCA,GG
34.83,E,169.93,E,Vivienda individual,Existente,1900,25.16,HUESCA,HUESCA,EE
35.57,E,169.38,E,Vivienda individual,Existente,1984,87.8,HUESCA,HUESCA,EE
24.89,C,118.48,C,Unifamiliar,Proyecto Nueva Construcción,2014,187.5,HUESCA,HUESCA,CC
28.74,D,137.02,D,Vivienda individual,Existente,2001,92,HUESCA,HUESCA,DD
56.72,E,278.76,E,Vivienda individual,Existente,2001,45,HUESCA,HUESCA,EE
54.24,E,221.14,E,Vivienda individual,Existente,2006,62,HUESCA,HUESCA,EE
40,E,194.4,E,Vivienda individual,Existente,1971,79.13,HUESCA,HUESCA,EE
89.16,F,336.64,F,Vivienda individual,Existente,1975,106.5,HUESCA,HUESCA,FF
119.63,G,456.1,G,Vivienda individual,Existente,1960,87,HUESCA,HUESCA,GG
31,E,152,E,Vivienda individual,Existente,2003,35.22,HUESCA,HUESCA,EE
119.15,G,589.41,G,Vivienda individual,Existente,1983,92,HUESCA,HUESCA,GG
64.7,E,253.52,E,Vivienda individual,Existente,1970,62.25,HUESCA,HUESCA,EE
107.73,F,433.25,G,Local,Existente,1971,54.07,HUESCA,HUESCA,FG
61.46,E,231.64,E,Vivienda individual,Existente,1977,95,HUESCA,HUESCA,EE
24.63,D,119.99,D,Vivienda individual,Existente,2005,63.96,HUESCA,HUESCA,DD
76.21,E,292.43,E,Vivienda individual,Existente,1970,65,HUESCA,HUESCA,EE
90.27,F,345.91,F,Vivienda individual,Existente,1968,40.86,HUESCA,HUESCA,FF
71.45,E,276.98,E,Vivienda individual,Existente,1970,56.55,HUESCA,HUESCA,EE
35.6,D,179.9,D,Local,Existente,1970,55,HUESCA,HUESCA,DD
59.9,E,283.7,E,Vivienda individual,Existente,2008,96,HUESCA,HUESCA,EE
75.3,G,356.1,G,Vivienda individual,Existente,1968,58.66,HUESCA,HUESCA,GG
43.45,E,164.78,E,Vivienda individual,Existente,1974,76.21,HUESCA,HUESCA,EE
77.3,E,296.33,E,Vivienda individual,Existente,1971,63.5,HUESCA,HUESCA,EE
27.06,D,129.8,D,Vivienda individual,Existente,1998,67.85,HUESCA,HUESCA,DD
83.28,F,314.69,E,Vivienda individual,Existente,1976,100.15,HUESCA,HUESCA,FE
54.97,E,268.52,E,Vivienda individual,Existente,1984,77.74,HUESCA,HUESCA,EE
159.4,G,639.21,G,Vivienda individual,Existente,1961,18.1,HUESCA,HUESCA,GG
59.55,E,291.55,E,Vivienda individual,Existente,1964,65,HUESCA,HUESCA,EE
87.22,F,430.93,G,Vivienda individual,Existente,1990,69,HUESCA,HUESCA,FG
51.2,E,253.03,E,Vivienda individual,Existente,2005,55,HUESCA,HUESCA,EE
45.98,E,224.53,E,Vivienda individual,Existente,1969,93,HUESCA,HUESCA,EE
73.18,E,360.93,E,Vivienda individual,Existente,1966,72,HUESCA,HUESCA,EE
88.8,G,357.13,G,Local,Existente,1981,100,HUESCA,HUESCA,GG
37.97,E,149.69,E,Vivienda individual,Existente,1880,91.37,HUESCA,HUESCA,EE
52.9,E,260.48,E,Vivienda individual,Existente,2004,64.3,HUESCA,HUESCA,EE
60.89,E,296.89,E,Vivienda individual,Existente,2003,51,HUESCA,HUESCA,EE
42.46,E,207.97,E,Vivienda individual,Existente,1991,92,HUESCA,HUESCA,EE
105.57,G,424.57,G,Vivienda individual,Existente,1992,117,HUESCA,HUESCA,GG
68.68,E,258.58,E,Vivienda individual,Existente,1980,69.53,HUESCA,HUESCA,EE
39.9,E,90.54,E,Vivienda individual,Existente,1985,86.78,HUESCA,HUESCA,EE
62.56,E,274.43,E,Vivienda individual,Existente,1957,72,HUESCA,HUESCA,EE
229.17,F,901.69,E,Local,Existente,1979,56.62,HUESCA,HUESCA,FE
19.3,C,87.89,C,Vivienda individual,Existente,1994,78,HUESCA,HUESCA,CC
101.29,G,407.35,G,Vivienda individual,Existente,1994,100,HUESCA,HUESCA,GG
52.7,E,270.3,E,Vivienda individual,Existente,1970,51,HUESCA,HUESCA,EE
68.3,E,321.7,E,Unifamiliar,Existente,1989,208,HUESCA,HUESCA,EE
38.8,F,229.3,G,Local,Existente,1980,68,HUESCA,HUESCA,FG
52.3,E,270.8,E,Vivienda individual,Existente,1964,67,HUESCA,HUESCA,EE
33,E,170.8,E,Vivienda individual,Existente,1973,73.41,HUESCA,HUESCA,EE
58.8,E,347.2,G,Vivienda individual,Existente,1960,60.4,HUESCA,HUESCA,EG
34,E,161.1,E,Vivienda individual,Existente,2007,86.16,HUESCA,HUESCA,EE
67.26,E,332.53,F,Vivienda individual,Existente,1960,50.71,HUESCA,HUESCA,EF
47.97,E,237.01,E,Vivienda individual,Existente,1950,71.59,HUESCA,HUESCA,EE
53.43,D,201.44,D,Local,Existente,1988,150.29,HUESCA,HUESCA,DD
26.63,D,129.02,D,Vivienda individual,Existente,1997,87.71,HUESCA,HUESCA,DD
80.87,F,325.23,F,Local,Existente,1888,1154.98,HUESCA,HUESCA,FF
102.34,G,505.58,G,Vivienda individual,Existente,1985,51.91,HUESCA,HUESCA,GG
29.93,D,145.68,E,Vivienda individual,Existente,2006,65,HUESCA,HUESCA,DE
29.49,D,142.89,E,Vivienda individual,Existente,1985,97,HUESCA,HUESCA,DE
69.9,G,281.1,F,Vivienda individual,Existente,2007,197,HUESCA,HUESCA,GF
58.65,E,289.9,E,Vivienda individual,Existente,1970,66.62,HUESCA,HUESCA,EE
109.85,F,441.76,E,Vivienda individual,Existente,1973,119.62,HUESCA,HUESCA,FE
96.53,G,475.33,G,Vivienda individual,Existente,2003,43,HUESCA,HUESCA,GG
44.18,E,216.74,E,Vivienda individual,Existente,1984,55,HUESCA,HUESCA,EE
62.83,E,294.53,E,Vivienda individual,Existente,1958,131,HUESCA,HUESCA,EE
64.19,E,314.33,E,Vivienda individual,Existente,2008,94,HUESCA,HUESCA,EE
121.43,G,488.35,G,Vivienda individual,Existente,1888,39.57,HUESCA,HUESCA,GG
63.66,F,247.4,F,Local,Existente,1991,96,HUESCA,HUESCA,FF
48.65,E,239.38,E,Vivienda individual,Existente,2005,78.95,HUESCA,HUESCA,EE
49.79,E,217.31,E,Vivienda individual,Existente,1984,86,HUESCA,HUESCA,EE
144.15,D,579.7,D,Local,Existente,1993,308,HUESCA,HUESCA,DD
64.7,E,319.84,E,Vivienda individual,Existente,1998,40.12,HUESCA,HUESCA,EE
63.67,E,305.29,E,Vivienda individual,Existente,1951,117,HUESCA,HUESCA,EE
114.79,F,451.74,F,Edificio completo,Existente,1972,537.8,HUESCA,HUESCA,FF
46.43,E,226.36,E,Vivienda individual,Existente,1968,82.45,HUESCA,HUESCA,EE
41.11,E,199.78,E,Vivienda individual,Existente,1970,60,HUESCA,HUESCA,EE
39.6,E,190.77,E,Vivienda individual,Existente,2003,56,HUESCA,HUESCA,EE
85.65,F,322.61,E,Vivienda individual,Existente,1981,73.08,HUESCA,HUESCA,FE
42.19,E,198.82,E,Vivienda individual,Existente,2007,84,HUESCA,HUESCA,EE
202.68,G,815.08,G,Vivienda individual,Existente,1963,41,HUESCA,HUESCA,GG
59.7,E,294.36,E,Vivienda individual,Existente,2005,86.71,HUESCA,HUESCA,EE
46.9,E,177.9,E,Vivienda individual,Existente,1998,98.89,HUESCA,HUESCA,EE
58.53,E,289.29,E,Vivienda individual,Existente,2001,65.17,HUESCA,HUESCA,EE
44.4,E,209.9,E,Vivienda individual,Existente,1980,115.62,HUESCA,HUESCA,EE
94,F,555.1,G,Local,Existente,1978,87,HUESCA,HUESCA,FG
105.49,G,424.24,G,Vivienda individual,Existente,1992,117,HUESCA,HUESCA,GG
96.44,E,387.86,F,Local,Existente,1940,137.38,HUESCA,HUESCA,EF
60.66,E,299.83,E,Vivienda individual,Existente,2001,82.51,HUESCA,HUESCA,EE
111.26,G,424.09,G,Vivienda individual,Existente,1968,84.3,HUESCA,HUESCA,GG
48.83,E,238.13,E,Vivienda individual,Existente,1968,62.88,HUESCA,HUESCA,EE
35.59,E,171.43,E,Vivienda individual,Existente,2007,54,HUESCA,HUESCA,EE
